intent,text
ground_service, what ground transportation is available into washington
ground_service, what ground transportation is available from the pittsburgh airport
ground_service, what ground transportation is available from pittsburgh to downtown
ground_service, what kind of ground transportation is available in denver
ground_service, can you find out about the ground transportation available in atlanta
ground_service, rental cars in washington dc
ground_service, how much time does it take to go between the airport and downtown by ground transportation in dallas
ground_service, show me the ground transportation schedule in philadelphia in the morning on wednesday
ground_service, is there an airport limousine at the atlanta airport
ground_service, please give me ground transportation information for denver
ground_service, show me the car rentals in baltimore
ground_service, are there any limousines or taxi services available at the boston airport
ground_service, i'm looking for ground transportation in dallas
ground_service, ground transportation from airport in boston to downtown boston
ground_service, ground transportation philadelphia
ground_service, what is the ground transportation available in the city of philadelphia
